Name,Price,24h %,Market Cap,Volume(24h),Circulating Supply,Dominance
Ethereum ETH,"$3,232.83",2.79%,"$389,084,509,519","$21,567,529,854 6,687,278 ETH","120,503,268 ETH",10.9503%
Tether USDT,$0.9994,0.08%,"$138,518,547,513","$110,854,779,021 110,922,635,665 USDT","138,608,320,796 USDT",3.903%
Solana SOL,$253.02,0.45%,"$122,717,729,447","$8,821,667,665 34,965,293 SOL","486,490,210 SOL",3.4602%
USDC USDC,$0.9998,0.05%,"$51,503,504,648","$9,994,691,945 9,996,558,149 USDC","51,522,973,449 USDC",1.4522%
Chainlink LINK,$24.72,6.63%,"$15,773,417,506","$623,462,595 25,225,026 LINK","638,099,970 LINK",0.4446%
Uniswap UNI,$12.73,5.24%,"$7,642,156,718","$248,456,113 19,520,879 UNI","600,518,038 UNI",0.2155%
OFFICIAL TRUMP TRUMP,$37.93,9.24%,"$7,586,651,423","$9,289,700,914 244,909,382 TRUMP","200,000,000 TRUMP",0.2139%
Dai DAI,$1.00,0.01%,"$5,365,440,134","$161,220,443 161,219,526 DAI","5,365,382,703 DAI",0.1512%
Aave AAVE,$337.37,6.45%,"$5,077,363,752","$534,233,169 1,583,932 AAVE","15,050,059 AAVE",0.143%
Cronos CRO,$0.1372,4.75%,"$3,646,796,412","$55,495,251 404,328,405 CRO","26,571,560,696 CRO",0.1028%
Render RENDER,$6.94,2.37%,"$3,590,895,491","$93,554,682 13,487,735 RENDER","517,697,727 RENDER",0.1012%
Bonk BONK,$0.00003115,2.82%,"$2,382,059,340","$535,556,221 17,196,688,396,676 BONK","76,479,511,518,098 BONK",0.0671%
Raydium RAY,$7.54,0.91%,"$2,194,266,217","$210,549,618 27,899,313 RAY","290,867,624 RAY",0.0619%
GateToken GT,$22.80,4.33%,"$2,023,262,078","$29,493,351 1,291,225 GT","88,739,414 GT",0.0571%
First Digital USD FDUSD,$0.9992,0.08%,"$1,838,917,640","$7,012,581,103 7,013,673,765 FDUSD","1,840,471,956 FDUSD",0.0519%
The Graph GRT,$0.1911,7.29%,"$1,825,073,913","$79,957,670 418,311,252 GRT","9,548,531,509 GRT",0.0514%
Lido DAO LDO,$1.83,3.46%,"$1,638,203,598","$223,259,290 122,154,483 LDO","896,046,961 LDO",0.0461%
Pudgy Penguins PENGU,$0.02501,7.03%,"$1,572,434,547","$338,723,035 13,539,864,790 PENGU","62,860,396,090 PENGU",0.0443%
Fartcoin FARTCOIN,$1.46,7.57%,"$1,459,311,593","$449,910,958 308,631,106 FARTCOIN","999,998,256 FARTCOIN",0.0411%
dogwifhat WIF,$1.40,2.15%,"$1,395,978,680","$226,850,082 162,361,234 WIF","998,841,668 WIF",0.0393%
Jupiter JUP,$0.7805,9.80%,"$1,316,230,304","$570,658,592 730,890,236 JUP","1,686,443,547 JUP",0.0371%
SPX6900 SPX,$1.33,3.33%,"$1,239,767,608","$59,381,875 44,589,557 SPX","930,993,090 SPX",0.0349%
Ethereum Name Service ENS,$33.69,4.98%,"$1,191,592,258","$114,203,782 3,389,422 ENS","35,364,930 ENS",0.0336%
Pyth Network PYTH,$0.3158,0.06%,"$1,144,722,066","$69,492,313 220,047,378 PYTH","3,624,988,786 PYTH",0.0323%
ai16z AI16Z,$0.9524,17.57%,"$1,047,688,881","$237,828,960 249,696,582 AI16Z","1,099,999,291 AI16Z",0.0295%
Arweave AR,$14.97,2.50%,"$982,619,982","$28,049,143 1,874,374 AR","65,652,466 AR",0.0277%
Axie Infinity AXS,$5.83,3.31%,"$921,333,234","$38,077,131 6,526,033 AXS","157,907,138 AXS",0.026%
Decentraland MANA,$0.4719,3.46%,"$916,528,974","$73,081,333 154,906,490 MANA","1,942,255,184 MANA",0.0258%
Jito JTO,$2.99,1.18%,"$853,539,032","$72,272,879 24,164,535 JTO","285,381,937 JTO",0.024%
Polygon MATIC,$0.4354,3.07%,"$833,312,431","$6,078,334 13,959,490 MATIC","1,913,783,718 MATIC",0.0235%
Helium HNT,$4.43,0.39%,"$784,087,937","$10,673,253 2,407,633 HNT","176,871,682 HNT",0.0221%
FTX Token FTT,$2.11,3.81%,"$693,101,899","$43,702,540 20,738,006 FTT","328,895,104 FTT",0.0195%
Compound COMP,$75.36,4.20%,"$668,389,263","$44,983,441 596,892 COMP","8,868,958 COMP",0.0188%
Official Melania Meme MELANIA,$3.42,15.96%,"$658,328,098","$285,541,055 83,369,817 MELANIA","192,212,965 MELANIA",0.0185%
Gigachad (gigachadsolana.com) GIGA,$0.0699,4.48%,"$650,271,427","$23,383,075 334,504,923 GIGA","9,302,411,888 GIGA",0.0183%
Wormhole W,$0.2254,3.92%,"$638,068,070","$32,041,857 142,142,238 W","2,830,560,752 W",0.018%
Popcat (SOL) POPCAT,$0.5809,18.94%,"$569,282,441","$100,901,176 173,693,126 POPCAT","979,973,185 POPCAT",0.016%
PAX Gold PAXG,"$2,751.87",0.38%,"$559,133,584","$26,075,199 9,475 PAXG","203,183 PAXG",0.0158%
Synthetix SNX,$1.62,4.91%,"$551,388,705","$28,341,087 17,448,383 SNX","339,466,217 SNX",0.0155%
PayPal USD PYUSD,$0.9994,0.05%,"$493,863,782","$38,679,975 38,703,249 PYUSD","494,160,942 PYUSD",0.0139%
Grass GRASS,$1.99,2.13%,"$485,419,832","$63,605,287 31,959,249 GRASS","243,905,091 GRASS",0.0137%
Oasis ROSE,$0.06589,3.14%,"$465,467,665","$42,046,938 638,121,975 ROSE","7,064,132,681 ROSE",0.0131%
cat in a dogs world MEW,$0.005075,0.73%,"$451,074,232","$50,488,011 9,949,189,974 MEW","88,888,888,888 MEW",0.0127%
1inch Network 1INCH,$0.3224,6.23%,"$450,825,858","$30,024,865 93,125,575 1INCH","1,398,288,309 1INCH",0.0127%
Terra Classic LUNC,$0.0000818,7.34%,"$450,335,958","$38,974,662 476,442,345,618 LUNC","5,505,092,463,545 LUNC",0.0127%
Trust Wallet Token TWT,$1.05,2.54%,"$438,541,246","$18,746,986 17,811,163 TWT","416,649,900 TWT",0.0124%
Turbo TURBO,$0.006279,2.18%,"$433,246,547","$68,383,633 10,896,790,244 TURBO","69,000,000,000 TURBO",0.0122%
io.net IO,$2.90,2.91%,"$391,975,991","$109,297,263 37,662,654 IO","135,070,682 IO",0.0111%
Baby Doge Coin BabyDoge,$0.082256,2.50%,"$369,279,223","$52,614,290 23,302,864,267,897,268 BABYDOGE","163,712,280,782,177,472 BabyDoge",0.0104%
Peanut the Squirrel PNUT,$0.3589,2.56%,"$358,815,908","$188,341,521 524,820,634 PNUT","999,853,836 PNUT",0.0101%
Convex Finance CVX,$3.54,7.23%,"$345,774,826","$17,792,668 5,031,073 CVX","97,771,636 CVX",0.0097%
Basic Attention Token BAT,$0.2278,3.37%,"$340,696,197","$19,590,766 86,003,583 BAT","1,495,658,357 BAT",0.0096%
Bio Protocol BIO,$0.2598,6.24%,"$335,512,631","$127,945,878 492,464,889 BIO","1,291,391,270 BIO",0.0095%
Ankr ANKR,$0.03087,3.53%,"$308,679,048","$16,279,294 527,385,792 ANKR","10,000,000,000 ANKR",0.0087%
Solana Swap SOS,$1.28,3.32%,"$1,278,549,038","$3,825,076 2,991,732 SOS","999,999,999 SOS",<0.0001%
Frax FRAX,$0.9957,0.06%,"$646,619,580","$23,300,583 23,401,978 FRAX","649,433,438 FRAX",<0.0001%
Chintai CHEX,$0.5375,11.06%,"$536,935,586","$5,069,880 9,431,018 CHEX","998,890,602 CHEX",<0.0001%
GRIFFAIN GRIFFAIN,$0.4903,11.67%,"$490,236,011","$94,670,190 193,088,498 GRIFFAIN","999,881,120 GRIFFAIN",<0.0001%
